rank,player,pos,pos_rank,actual
1,Trevor Lawrence,QB,1,
2,Zach Wilson,QB,2,
3,Penei Sewell,OL,1,
4,Kyle Pitts,TE,1,
5,Ja'Marr Chase,WR,1,5
6,Justin Fields,QB,3,
7,Jaylen Waddle,WR,2,6
8,Micah Parsons,LB,1,
9,DeVonta Smith,WR,3,10
10,Trey Lance,QB,4,
11,Caleb Farley,CB,1,
12,Kwity Paye,EDGE,1,
13,Christian Darrisaw,OL,2,
14,Rashawn Slater,OL,3,
15,Patrick Surtain II,CB,2,
16,Jeremiah Owusu-Koramoah,LB,2,
17,Trevon Moehrig,S,1,
18,Azeez Ojulari,EDGE,2,
19,Alijah Vera-Tucker,OL,4,
20,Rondale Moore,WR,4,49
21,Mac Jones,QB,5,
22,Jaelan Phillips,EDGE,3,
23,Teven Jenkins,OL,5,
24,Kadarius Toney,WR,5,20
25,Christian Barmore,DL,1,
26,Asante Samuel Jr.,CB,3,
27,Jaycee Horn,CB,4,
28,Levi Onwuzurike,DL,2,
29,Joseph Ossai,EDGE,4,
30,Zaven Collins,LB,3,
31,Rashod Bateman,WR,6,27
32,Tyson Campbell,CB,5,
33,Greg Newsome II,CB,6,
34,Jayson Oweh,EDGE,5,
35,Najee Harris,RB,1,
36,Travis Etienne,RB,2,
37,Terrace Marshall,WR,7,59
38,Javonte Williams,RB,3,
39,Alex Leatherwood,OL,6,
40,Jamin Davis,LB,4,
41,Daviyon Nixon,DL,3,
42,Elijah Moore,WR,8,34
43,Kelvin Joseph,CB,7,
44,Carlos Basham Jr.,EDGE,6,
45,Wyatt Davis,OL,7,
46,Jalen Mayfield,OL,8,
47,Ifeatu Melifonwu,CB,8,
48,Aaron Robinson,CB,9,
49,Richie Grant,S,2,
50,Jackson Carman,OL,9,
51,D'Wayne Eskridge,WR,9,56
52,Creed Humphrey,OL,10,
53,Joe Tryon,EDGE,7,
54,Dillon Radunz,OL,11,
55,Andre Cisco,S,3,
56,Jevon Holland,S,4,
57,Payton Turner,DL,4,
58,Samuel Cosmi,OL,12,
59,Gregory Rousseau,EDGE,8,
60,Ar'Darius Washington,S,5,
61,Hamsah Nasirildeen,S,6,
62,Davis Mills,QB,6,
63,Eric Stokes,CB,10,
64,Osa Odighizuwa,EDGE,9,
65,Elijah Molden,CB,11,
66,Pat Freiermuth,TE,2,
67,Ronnie Perkins,EDGE,10,
68,Nick Bolton,LB,5,
69,Alim McNeill,DL,5,
70,Tylan Wallace,WR,10,131
71,Landon Dickerson,OL,13,
72,Trey Smith,OL,14,
73,Brevin Jordan,TE,3,
74,Rashad Weaver,EDGE,11,
75,Milton Williams,DL,6,
76,Dazz Newsome,WR,11,221
77,Michael Carter,RB,4,
78,Kary Vincent Jr.,CB,12,
79,Camryn Bynum,CB,13,
80,Baron Browning,LB,6,
81,Deonte Brown,OL,15,
82,Kyle Trask,QB,7,
83,Jabril Cox,LB,7,
84,Walker Little,OL,16,
85,Quinn Meinerz,OL,17,
86,Tyler Shelvin,DL,7,
87,Jay Tufele,DL,8,
88,Chazz Surratt,LB,8,
89,Patrick Jones II,EDGE,12,
90,Sage Surratt,WR,12,78
91,Amari Rodgers,WR,13,85
92,Kenneth Gainwell,RB,5,
93,Hunter Long,TE,4,
94,James Hudson,OL,18,
95,Brenden Jaimes,OL,19,
96,Adetokunbo Ogundeji,EDGE,13,
97,Amon-Ra St. Brown,WR,14,112
98,Josh Myers,OL,20,
99,Rhamondre Stevenson,RB,6,
100,Jamar Johnson,S,7,
101,Paulson Adebo,CB,14,
102,Aaron Banks,OL,21,
103,Jaylen Twyman,DL,9,
104,Quincy Roche,EDGE,14,
105,Dylan Moses,LB,9,
106,Tommy Togiai,DL,10,
107,Tre Brown,CB,15,
108,Marlon Tuipulotu,DL,11,
109,Darius Stills,DL,12,
110,Tommy Tremble,TE,5,
111,Cornell Powell,WR,15,181
112,Tutu Atwell,WR,16,57
113,Trey Sermon,RB,7,
114,Liam Eichenberg,OL,22,
115,Tamorrion Terry,WR,17,260
116,Marquez Stevenson,WR,18,120
117,Dyami Brown,WR,19,82
118,Bryce Hargrove,OL,23,
119,Seth Williams,WR,20,219
120,Jaelon Darden,WR,21,129
121,Jamie Newman,QB,8,
122,Thomas Graham Jr.,CB,16,
123,Jamien Sherwood,S,8,
124,Jordan Smith,EDGE,15,
125,Pete Werner,LB,10,
126,Brady Christensen,OL,24,
127,Spencer Brown,OL,25,
128,Marvin Wilson,DL,13,
129,Frank Darby,WR,22,187
130,Chris Rumph II,EDGE,16,
131,Tyree Gillespie,S,9,
132,Kylin Hill,RB,8,
133,Hamilcar Rashed Jr.,EDGE,17,
134,Shakur Brown,CB,17,
135,Rodarius Williams,CB,18,
136,Ambry Thomas,CB,19,
137,Bobby Brown III,DL,14,
138,Shaun Wade,CB,20,
139,Shaka Toney,EDGE,18,
140,Keith Taylor,CB,21,
141,Kellen Mond,QB,9,
142,Marco Wilson,CB,22,
143,Khalil Herbert,RB,9,
144,Demetric Felton,RB,10,
145,Cameron McGrone,LB,11,
146,Trevon Grimes,WR,23,263
147,Jaret Patterson,RB,11,
148,Cade Johnson,WR,24,266
149,Paris Ford,S,10,
150,Robert Jones,OL,26,
151,Larry Borom,OL,27,
152,Chuba Hubbard,RB,12,
153,Monty Rice,LB,12,
154,DJ Daniel,CB,23,
155,Victor Dimukeje,EDGE,19,
156,Alaric Jackson,OL,28,
157,Josh Palmer,WR,25,77
158,Nico Collins,WR,26,89
159,Ihmir Smith-Marsette,WR,27,157
160,Benjamin St-Juste,CB,24,
161,Justin Hilliard,LB,13,
162,D'Ante Smith,OL,29,
163,Mark Webb,S,11,
164,Cameron Sample,EDGE,20,
165,Christian Uphoff,S,12,
166,Elijah Mitchell,RB,13,
167,Anthony Schwartz,WR,28,91
168,Richard LeCounte,S,13,
169,Stone Forsythe,OL,30,
170,Joshua Kaindoh,EDGE,21,
171,Drake Jackson,OL,31,
172,Drew Dalman,OL,32,
173,Joshuah Bledsoe,S,14,
174,Trill Williams,S,15,
175,Israel Mukuamu,CB,25,
176,Olaijah Griffin,CB,26,
177,Talanoa Hufanga,S,16,
178,Ben Cleveland,OL,33,
179,Kene Nwangwu,RB,14,
180,Caden Sterns,S,17,
181,Shi Smith,WR,29,204
182,Robert Rochell,CB,27,
183,Trey Hill,OL,34,
184,James Wiggins,S,18,
185,Earnest Brown IV,DL,15,
186,Larry Rountree III,RB,15,
187,David Moore,OL,35,
188,Malcolm Koonce,EDGE,22,
189,Wyatt Hubert,EDGE,23,
190,Charles Snowden,LB,14,
191,Kendrick Green,OL,36,
192,Kenny Yeboah,TE,6,
193,Brett Heggie,OL,37,
194,Deommodore Lenoir,CB,28,
195,Spencer Brown,RB,16,
196,Malik Herring,DL,16,
197,Chauncey Golston,EDGE,24,
198,Isaiah McDuffie,LB,15,
199,Damar Hamlin,S,19,
200,Royce Newman,OL,38,
201,Garret Wallow,LB,16,
202,Chris Evans,RB,17,
203,Jerome Johnson,DL,17,
204,Marlon Williams,WR,30,269
205,Pooka Williams Jr.,RB,18,
206,Shemar Jean-Charles,CB,29,
207,Tony Fields II,LB,17,
208,Dax Milne,WR,31,258
209,Harry Crider,OL,39,
210,Brandon Stephens,CB,30,
211,Zech McPhearson,CB,31,
212,Jonathon Cooper,EDGE,25,
213,Darrick Forrest,S,20,
214,Tedarrell Slaton,DL,18,
215,Tre' McKitty,TE,7,
216,Austin Watkins,WR,32,272
217,Whop Philyor,WR,33,275
218,Kayode Awosika,OL,40,
219,Feleipe Franks,QB,10,
220,Nick Eubanks,TE,8,
221,Tre Norwood,CB,32,
222,Derrick Barnes,LB,18,
223,Divine Deablo,S,21,
224,Jose Borregales,K,1,
225,Tre Walker,WR,34,278
226,Jermar Jefferson,RB,19,
227,Bryce Thompson,CB,33,
228,Simi Fehoko,WR,35,179
229,Brady Breeze,S,22,
230,Darren Hall,CB,34,
231,Patrick Johnson,EDGE,26,
232,Max Duffy,P,1,
233,Matt Bushman,TE,9,
234,Daelin Hayes,EDGE,27,
235,Quintin Morris,TE,10,
236,Dan Moore Jr.,OL,41,
237,Tarron Jackson,EDGE,28,
238,JR Pace,S,23,
239,JaCoby Stevens,S,24,
240,Kylen Granson,TE,11,
241,Damonte Coxie,WR,36,281
242,Jonathan Adams,WR,37,284
243,Josh Ball,OL,42,
244,Tyler Vaughns,WR,38,287
245,Jonathan Marshall,DL,19,
246,Tommy Kraemer,OL,43,
247,Landon Young,OL,44,
248,BJ Emmons,RB,20,
249,William Bradley-King,EDGE,29,
250,Robert Hainsey,OL,45,
251,Jaelin Fisher,OL,46,
252,Javian Hawkins,RB,21,
253,Carlo Kemp,DL,20,
254,Brandin Echols,CB,35,
255,Janarius Robinson,EDGE,30,
256,Khyiris Tonga,DL,21,
257,Ben Skowronek,WR,39,249
258,Sadarius Hutcherson,OL,47,
259,Tay Gowan,CB,36,
260,Michal Menet,OL,48,
261,Shane Buechele,QB,11,
262,Jaylon Moore,OL,49,
263,Eric Burrell,S,25,
264,Adrian Ealy,OL,50,
265,Riley Patterson,K,2,
266,Christian Tutt,CB,37,
267,D'Angelo Amos,S,26,
268,Pro Wells,TE,12,
269,Nate Hobbs,CB,38,
270,Ta'Quon Graham,DL,22,
271,James Smith,P,2,
272,Noah Gray,TE,13,
273,K.J. Britt,LB,19,
274,Grant Stuard,LB,20,
275,Racey McMath,WR,40,205
276,Dayo Odeyingbo,EDGE,31,
277,Chris Wilcox,CB,39,
278,Larnel Coleman,OL,51,
279,Rachad Wildgoose,CB,40,
280,Miller Forristall,TE,14,
281,Brandon Smith,WR,41,290
282,Isaiah Dunn,CB,41,
283,Ernest Jones,LB,21,
284,Ben Mason,RB,22,
285,Trey Ragas,RB,23,
286,Antonio Phillips,CB,42,
287,Carson Green,OL,52,
288,Avery Williams,CB,43,
289,Tony Poljan,TE,15,
290,Dai'Jean Dixon,WR,42,293
291,Justin Henderson,RB,24,
